tweet_id:,sentiment:,convo_id:,convo_sent
1234777815607840768,neutral,683f627d45365e2440ef6c89,negative
1234778908807094272,neutral,683f627d45365e2440ef6c89,negative
1234940246653009924,negative,683f627d45365e2440ef6c89,negative
1138829516825157632,negative,682c9c670f56f62407cb9735,very negative
1138831612773326848,positive,682c9c670f56f62407cb9735,very negative
1138834875455287296,negative,682c9c670f56f62407cb9735,very negative
1141358253818994689,negative,683f567c45365e2440ec8769,very negative
1141371826351804417,positive,683f567c45365e2440ec8769,very negative
1141617427593224192,negative,683f567c45365e2440ec8769,very negative
1201388160418242560,positive,683f5e9a45365e2440ee689f,neutral
1203118210339356674,neutral,683f5e9a45365e2440ee689f,neutral
1227896097844211714,positive,682ca5800f56f62407ce3c2b,neutral
1227897565808603136,neutral,682ca5800f56f62407ce3c2b,neutral
1228215442554048519,negative,683f60f145365e2440ef053f,negative
1228215765829996545,neutral,683f60f145365e2440ef053f,negative
1228217688914182144,negative,683f60f145365e2440ef053f,negative
1238437910464036864,negative,683f62e945365e2440ef8f57,negative
1238465122387050496,neutral,683f62e945365e2440ef8f57,negative
1238467036013002752,negative,683f62e945365e2440ef8f57,negative
1238483465982611457,positive,683f62e945365e2440ef8f57,negative
1238483729271738371,neutral,683f62e945365e2440ef8f57,negative
1238485165598531584,positive,683f62e945365e2440ef8f57,negative
1238485529768783872,neutral,683f62e945365e2440ef8f57,negative
1238492465080012800,positive,683f62e945365e2440ef8f57,negative
1238557495863500801,negative,683f62e945365e2440ef8f57,negative
1239221443583303680,neutral,682ca8990f56f62407cf41d7,negative
1241296351167561729,negative,682ca8990f56f62407cf41d7,negative
1204006069095325696,negative,683f5f1a45365e2440ee8e1e,negative
1204009990455021569,positive,683f5f1a45365e2440ee8e1e,negative
1204036649971269632,negative,683f5f1a45365e2440ee8e1e,negative
1204040679208443905,positive,683f5f1a45365e2440ee8e1e,negative
1204040974630051840,negative,683f5f1a45365e2440ee8e1e,negative
1131503082427355136,neutral,682c9afd0f56f62407cb35d4,negative
1131542801387347968,neutral,682c9afd0f56f62407cb35d4,negative
1131560777549266944,negative,682c9afd0f56f62407cb35d4,negative
1140948939161657345,negative,683f562a45365e2440ec78a8,neutral
1140953844219875329,neutral,683f562a45365e2440ec78a8,neutral
1140955237571842049,neutral,683f562a45365e2440ec78a8,neutral
1140972802159329282,positive,683f562a45365e2440ec78a8,neutral
1141758438143397888,neutral,683f562a45365e2440ec78a8,neutral
1148306320732426241,negative,683f575845365e2440ecb6ce,neutral
1148311010618597376,positive,683f575845365e2440ecb6ce,neutral
1148313556175269889,neutral,683f575845365e2440ecb6ce,neutral
1231626771235135488,positive,683f61a245365e2440ef33f4,neutral
1231672358303301633,neutral,683f61a245365e2440ef33f4,neutral
1231673437040472065,positive,683f61a245365e2440ef33f4,neutral
1238453479250825219,neutral,683f638d45365e2440efc806,neutral
1238906158334828544,positive,683f638d45365e2440efc806,neutral
